Rk,School,SRS,Games,Wins,Losses,PCT,SOS,TeamPTS,OppPTS
1,Gonzaga NCAA,26.77,29,26,3,0.897,4.29,2547,1895
2,Arizona NCAA,24,34,31,3,0.912,6.97,2875,2296
3,Houston NCAA,22.28,34,29,5,0.853,5.34,2578,2002
4,Baylor NCAA,21.89,32,26,6,0.813,9.01,2448,2036
5,Kentucky NCAA,21.85,33,26,7,0.788,8.39,2622,2178
6,Kansas NCAA,21.82,34,28,6,0.824,11.38,2672,2317
7,Tennessee NCAA,20.84,33,26,7,0.788,10.42,2415,2071
8,Auburn NCAA,20.4,32,27,5,0.844,8.72,2519,2145
9,UCLA NCAA,20.34,32,25,7,0.781,8.78,2444,2074
10,Texas Tech NCAA,19.93,34,25,9,0.735,8.55,2438,2051
11,Iowa NCAA,19.82,35,26,9,0.743,7.33,2932,2495
12,Purdue NCAA,19.77,34,27,7,0.794,8.74,2713,2338
13,Villanova NCAA,19.52,33,26,7,0.788,9.97,2397,2082
14,Duke NCAA,19.16,34,28,6,0.824,6.13,2726,2283
15,Louisiana State NCAA,18.08,33,22,11,0.667,8.5,2413,2097
16,Illinois NCAA,17.76,31,22,9,0.71,9.64,2349,2097
17,Connecticut NCAA,17.27,32,23,9,0.719,7.24,2406,2085
18,Texas NCAA,17.19,32,21,11,0.656,8.47,2187,1908
19,Arkansas NCAA,16.52,33,25,8,0.758,8.12,2539,2262
20,Alabama NCAA,15.51,32,19,13,0.594,11.95,2559,2445
21,San Francisco NCAA,14.85,33,24,9,0.727,5.53,2543,2212
22,Saint Mary's (CA) NCAA,14.83,32,25,7,0.781,6.48,2232,1936
23,Memphis NCAA,14.39,31,21,10,0.677,7.36,2338,2120
24,Ohio State NCAA,14.37,30,19,11,0.633,9.04,2214,2054
25,Loyola (IL) NCAA,14.24,32,25,7,0.781,3.02,2362,1975
26,Virginia Tech NCAA,14.17,35,23,12,0.657,5.71,2476,2180
27,Oklahoma,14.12,33,18,15,0.545,10.3,2260,2134
28,Michigan NCAA,14.08,31,17,14,0.548,10.92,2264,2166
29,Seton Hall NCAA,13.94,31,21,10,0.677,8.67,2260,2056
30,Wisconsin NCAA,13.86,31,24,7,0.774,9.7,2192,2063
31,San Diego State NCAA,13.84,31,23,8,0.742,6.23,2024,1788
32,Indiana NCAA,13.78,33,20,13,0.606,8.23,2359,2176
33,Michigan State NCAA,13.76,34,22,12,0.647,10.12,2451,2327
34,Xavier,13.36,31,18,13,0.581,8.65,2292,2146
35,Oklahoma State,13.26,30,15,15,0.5,10.56,2051,1970
36,Wake Forest,13.25,32,23,9,0.719,4,2543,2247
37,North Carolina NCAA,13.12,33,24,9,0.727,7.33,2558,2367
38,Southern California NCAA,13.11,33,26,7,0.788,6.44,2395,2175
39,TCU NCAA,12.88,32,20,12,0.625,9.78,2179,2080
40,Florida,12.75,32,19,13,0.594,8.06,2265,2115
41,Boise State NCAA,12.7,34,27,7,0.794,5.46,2336,2066
42,Marquette NCAA,12.58,31,19,12,0.613,9.07,2306,2197
43,Washington State,12.44,33,19,14,0.576,5.89,2373,2157
44,Iowa State NCAA,12.4,32,20,12,0.625,8.93,2127,2016
45,Texas A&M,12.39,35,23,12,0.657,7.75,2548,2340
46,Mississippi State,12.37,33,18,15,0.545,7.92,2339,2192
47,Colorado State NCAA,12.36,30,25,5,0.833,4.98,2212,1972
48,Providence NCAA,12.33,30,25,5,0.833,7.53,2154,2010
49,St. John's (NY),12.12,32,17,15,0.531,6.69,2547,2373
50,Southern Methodist,11.78,31,23,8,0.742,4.59,2305,2082
51,Creighton NCAA,11.48,33,22,11,0.667,8.39,2278,2176
52,Utah State,11.28,33,18,15,0.545,4.87,2425,2190
53,Vanderbilt,11.17,33,17,16,0.515,8.29,2323,2228
54,UAB NCAA,11.13,34,27,7,0.794,-0.68,2743,2254
55,Notre Dame NCAA,11.11,32,22,10,0.688,6.11,2320,2139
56,Kansas State,10.71,31,14,17,0.452,9.16,2139,2091
57,Colorado,10.63,32,21,11,0.656,6.6,2277,2148
