title,artist,genres,popularity_artist,song_popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
House of Memories,Panic! At The Disco,['modern rock'],82,83,0.506,0.817,11,-5.051,0,0.00272,0,0.0486,0.506,109.952,208707
Another Love,Tom Odell,"['chill pop', 'pop']",78,88,0.445,0.537,4,-8.532,0,0.695,1.65E-05,0.0944,0.131,122.769,244360
In The Stars,Benson Boone,[],73,79,0.362,0.54,10,-6.031,1,0.338,0,0.139,0.3,78.007,216410
Tek It,Cafuné,['brooklyn indie'],67,70,0.419,0.892,8,-5.604,1,7.59E-05,2.40E-06,0.127,0.6,146.97,191584
Pacify Her,Melanie Martinez,"['alt z', 'electropop', 'pop']",82,78,0.576,0.593,9,-6.024,0,0.0467,0.000767,0.237,0.373,157.993,220013
505,Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",87,83,0.526,0.866,0,-5.822,1,0.00287,7.78E-05,0.0945,0.248,140.266,253587
Revenge,XXXTENTACION,"['emo rap', 'miami hip hop']",90,84,0.746,0.251,11,-16.169,0,0.782,0.00203,0.106,0.18,139.999,120027
Softcore,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",87,86,0.575,0.568,9,-5.509,0,0.0484,0.000417,0.286,0.37,93.986,206280
Me and Your Mama,Childish Gambino,"['atl hip hop', 'hip hop', 'rap']",81,76,0.554,0.433,5,-12.628,1,0.0116,0.0449,0.0667,0.237,117.996,379227
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",85,76,0.839,0.81,5,-5.274,0,0.501,0,0.117,0.814,129.014,209269
Only Love Can Hurt Like This,Paloma Faith,"['british soul', 'dance pop', 'electropop', 'europop']",71,80,0.566,0.885,8,-4.528,1,0.0958,9.97E-05,0.334,0.304,90.99,232893
Good Looking,Suki Waterhouse,['indie pop'],60,70,0.364,0.561,4,-9.076,1,0.0776,0.000348,0.125,0.266,150.07,214800
Iris,The Goo Goo Dolls,"['neo mellow', 'permanent wave', 'pop rock']",73,80,0.315,0.715,11,-8.072,0,0.00125,7.97E-06,0.0942,0.497,155.925,289533
Notion,The Rare Occasions,['la indie'],73,29,0.307,0.884,9,-3.825,1,0.0678,0.00103,0.0849,0.314,159.579,195121
Hug Me,Pharrell Williams,"['hip hop', 'pop', 'pop rap']",85,73,0.842,0.622,0,-5.437,1,0.0684,0,0.33,0.587,139.927,140733
NEW MAGIC WAND,"Tyler, The Creator","['hip hop', 'rap']",89,82,0.621,0.73,5,-5.414,0,0.0967,0.000131,0.673,0.464,139.566,195320
Why Am I Like This?,Orla Gartland,"['indie pop', 'irish pop']",63,68,0.63,0.423,2,-7.705,1,0.507,2.24E-06,0.219,0.319,90.019,212713
RAVE,Dxrk ダーク,['drift phonk'],69,79,0.716,0.748,8,-6.06,1,0.235,0.849,0.114,0.338,119.918,169245
After Dark,Mr.Kitty,['weirdcore'],72,81,0.585,0.595,8,-10.444,1,0.0696,0.266,0.0837,0.039,140.037,259147
This Side of Paradise,Coyote Theory,[],68,80,0.306,0.664,9,-6.07,1,0.432,7.50E-06,0.135,0.321,158.283,242010
Mount Everest,Labrinth,"['indie poptimism', 'pop']",86,84,0.494,0.428,0,-7.239,0,0.236,0.0698,0.0816,0.44,87.724,157497
Cate’s Brother,Maisie Peters,"['alt z', 'pop', 'uk pop']",67,57,0.735,0.648,1,-4.523,0,0.0114,0.000213,0.309,0.395,97.985,180590
Malibu,Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",86,76,0.573,0.781,8,-6.406,1,0.0767,2.64E-05,0.0813,0.343,139.934,231907
Backstabber,Kesha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",81,80,0.6,0.939,7,-1.794,1,0.0666,6.18E-06,0.34,0.833,159.941,186840
A Pearl,Mitski,['brooklyn indie'],84,74,0.295,0.637,8,-4.043,1,0.0496,0.0236,0.112,0.221,84.551,156146
World's Smallest Violin,AJR,['modern rock'],77,49,0.68,0.696,5,-6.977,1,0.116,0,0.607,0.684,115.962,180743
Over,Lucky Daye,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop', 'r&b']",74,78,0.677,0.541,6,-6.057,0,0.48,0,0.125,0.379,103.369,205276
