playlist,danceability,energy,acousticness,instrumentalness,liveness,valence
0,0.695,0.54,0.299,0,0.367,0.415
0,0.575,0.648,0.583,0,0.115,0.466
0,0.612,0.807,0.0495,0.0177,0.101,0.398
0,0.332,0.225,0.767,0.00349,0.128,0.297
0,0.588,0.701,0.00813,0,0.2,0.443
0,0.429,0.661,0.00239,0.000121,0.234,0.285
0,0.761,0.525,0.44,6.70E-06,0.0921,0.531
0,0.369,0.272,0.866,0,0.147,0.218
0,0.695,0.575,0.198,0,0.0614,0.699
0,0.676,0.771,0.0237,7.00E-06,0.102,0.569
0,0.334,0.599,0.0468,0.000392,0.205,0.127
0,0.691,0.631,0.0483,1.13E-05,0.104,0.8
0,0.557,0.442,0.731,1.46E-05,0.11,0.213
0,0.491,0.693,0.211,6.92E-06,0.325,0.412
0,0.316,0.63,0.471,0.262,0.205,0.313
0,0.566,0.366,0.113,0.181,0.155,0.237
0,0.52,0.852,0.00237,5.79E-05,0.0733,0.234
0,0.611,0.797,0.00543,0.00137,0.26,0.518
0,0.306,0.664,0.432,7.50E-06,0.135,0.321
0,0.583,0.829,0.00864,0,0.0426,0.575
0,0.583,0.67,0.0374,0.0001,0.126,0.498
0,0.641,0.559,0.404,0.00402,0.0937,0.523
0,0.432,0.652,0.262,0,0.258,0.507
0,0.682,0.683,0.156,2.32E-05,0.273,0.64
0,0.404,0.664,0.542,0.00402,0.11,0.0949
0,0.811,0.719,0.0129,1.36E-05,0.0742,0.865
0,0.811,0.719,0.0129,1.36E-05,0.0742,0.865
0,0.56,0.936,0.00847,0,0.161,0.371
0,0.636,0.676,0.0807,0,0.0831,0.273
0,0.552,0.702,0.117,2.06E-05,0.105,0.564
0,0.675,0.761,0.432,0,0.102,0.428
0,0.298,0.38,0.778,5.62E-05,0.11,0.152
0,0.306,0.347,0.172,0.00013,0.0485,0.0511
0,0.639,0.526,0.245,2.43E-05,0.25,0.488
0,0.53,0.593,0.385,0,0.314,0.538
0,0.532,0.623,0.538,7.28E-05,0.0925,0.403
0,0.532,0.623,0.538,7.28E-05,0.0925,0.403
0,0.72,0.744,0.237,0,0.255,0.619
0,0.651,0.724,0.172,0,0.13,0.686
0,0.464,0.701,0.00892,0.309,0.335,0.356
0,0.471,0.335,0.593,2.11E-05,0.297,0.111
0,0.462,0.24,0.92,0,0.113,0.32
0,0.462,0.24,0.92,0,0.113,0.32
0,0.75,0.404,0.216,0.000357,0.0911,0.0499
0,0.562,0.689,0.00465,2.23E-06,0.0888,0.351
0,0.707,0.767,0.0279,0.000295,0.169,0.832
0,0.701,0.728,0.0178,0,0.17,0.696
0,0.615,0.534,0.106,1.76E-05,0.0607,0.193
0,0.391,0.715,0.167,0,0.183,0.473
0,0.622,0.791,0.00188,3.72E-06,0.083,0.494
0,0.628,0.877,0.0155,5.97E-06,0.113,0.721
0,0.606,0.377,0.817,0,0.154,0.446
0,0.581,0.619,0.769,0.000106,0.117,0.645
0,0.581,0.619,0.769,0.000106,0.117,0.645
0,0.512,0.483,0.00304,0.0011,0.12,0.367
0,0.402,0.732,0.0033,0,0.108,0.472
0,0.402,0.732,0.0033,0,0.108,0.472
0,0.44,0.528,0.0171,0.00203,0.234,0.132
0,0.753,0.678,0.085,1.64E-06,0.13,0.583
0,0.545,0.968,0.0387,0.00325,0.331,0.527
0,0.565,0.654,0.0542,1.80E-06,0.122,0.235
0,0.758,0.436,0.618,1.61E-05,0.335,0.605
0,0.756,0.449,0.13,0,0.114,0.399
0,0.756,0.449,0.13,0,0.114,0.399
0,0.542,0.732,0.00209,7.92E-05,0.496,0.489
0,0.467,0.119,0.969,1.40E-06,0.0973,0.156
0,0.636,0.849,0.0438,0,0.372,0.917
0,0.608,0.305,0.653,0,0.103,0.222
0,0.455,0.623,0.0739,0.000424,0.146,0.208
0,0.455,0.623,0.0739,0.000424,0.146,0.208
0,0.626,0.79,0.135,3.97E-06,0.0989,0.416
0,0.551,0.756,0.0511,0,0.0765,0.618
0,0.504,0.708,0.00112,0.000424,0.788,0.51
0,0.691,0.795,0.000812,1.02E-06,0.156,0.876
0,0.615,0.774,0.0173,0,0.15,0.336
0,0.8,0.535,0.0713,9.48E-06,0.213,0.451
0,0.695,0.71,0.0246,0.000104,0.133,0.557
0,0.556,0.658,0.164,0,0.113,0.787
0,0.593,0.377,0.6,0,0.0976,0.502
0,0.712,0.732,0.454,0,0.319,0.313
0,0.719,0.469,0.0329,0,0.169,0.0851
0,0.498,0.61,0.271,0,0.223,0.474
0,0.897,0.366,0.00889,0.000353,0.0715,0.416
0,0.559,0.31,0.881,0,0.106,0.46
0,0.63,0.605,0.484,9.29E-05,0.298,0.266
0,0.346,0.501,0.421,0,0.0657,0.299
0,0.6,0.683,0.0984,1.26E-06,0.11,0.494
0,0.46,0.632,0.0158,0,0.0822,0.399
